time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
305.0,1,0,UAV1|CLU0|T305.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,37
305.0,2,0,UAV2|CLU0|T305.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,37
305.0,3,0,UAV3|CLU0|T305.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,37
305.0,4,1,UAV4|CLU1|T305.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,5,1,UAV5|CLU1|T305.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,6,1,UAV6|CLU1|T305.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,7,1,UAV7|CLU1|T305.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,8,2,UAV8|CLU2|T305.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,9,2,UAV9|CLU2|T305.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,37
305.0,10,2,UAV10|CLU2|T305.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,37
305.0,11,2,UAV11|CLU2|T305.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,37
335.0,0,0,UAV0|CLU0|T335.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,39
335.0,1,0,UAV1|CLU0|T335.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,39
335.0,2,0,UAV2|CLU0|T335.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,39
335.0,3,0,UAV3|CLU0|T335.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,39
335.0,4,1,UAV4|CLU1|T335.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,5,1,UAV5|CLU1|T335.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,6,1,UAV6|CLU1|T335.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,7,1,UAV7|CLU1|T335.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,8,2,UAV8|CLU2|T335.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,9,2,UAV9|CLU2|T335.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,39
335.0,10,2,UAV10|CLU2|T335.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,39
335.0,11,2,UAV11|CLU2|T335.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,39
365.0,0,0,UAV0|CLU0|T365.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,41
365.0,1,0,UAV1|CLU0|T365.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,41
365.0,2,0,UAV2|CLU0|T365.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,41
365.0,3,0,UAV3|CLU0|T365.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,41
365.0,4,1,UAV4|CLU1|T365.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,5,1,UAV5|CLU1|T365.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,6,1,UAV6|CLU1|T365.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,7,1,UAV7|CLU1|T365.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,8,2,UAV8|CLU2|T365.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,9,2,UAV9|CLU2|T365.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,41
365.0,10,2,UAV10|CLU2|T365.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,41
365.0,11,2,UAV11|CLU2|T365.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,41
395.0,0,0,UAV0|CLU0|T395.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,43
395.0,1,0,UAV1|CLU0|T395.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,43
395.0,2,0,UAV2|CLU0|T395.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,43
