time_s,cluster_id,skdc_node,members,reachable,avg_dist_m
502,2,3,6,1,300
504,0,1,6,1,200
504,1,2,6,1,250
504,2,3,6,1,300
506,0,1,6,1,200
506,1,2,6,1,250
506,2,3,6,1,300
508,0,1,6,1,200
508,1,2,6,1,250
508,2,3,6,1,300
510,0,1,6,1,200
510,1,2,6,1,250
510,2,3,6,1,300
512,0,1,6,1,200
512,1,2,6,1,250
512,2,3,6,1,300
514,0,1,6,1,200
514,1,2,6,1,250
514,2,3,6,1,300
516,0,1,6,1,200
516,1,2,6,1,250
516,2,3,6,1,300
518,0,1,6,1,200
518,1,2,6,1,250
518,2,3,6,1,300
520,0,1,6,1,200
520,1,2,6,1,250
520,2,3,6,1,300
522,0,1,6,1,200
522,1,2,6,1,250
522,2,3,6,1,300
524,0,1,6,1,200
524,1,2,6,1,250
524,2,3,6,1,300
526,0,1,6,1,200
526,1,2,6,1,250
526,2,3,6,1,300
528,0,1,6,1,200
528,1,2,6,1,250
528,2,3,6,1,300
530,0,1,6,1,200
530,1,2,6,1,250
530,2,3,6,1,300
532,0,1,6,1,200
532,1,2,6,1,250
532,2,3,6,1,300
534,0,1,6,1,200
534,1,2,6,1,250
534,2,3,6,1,300
536,0,1,6,1,200
536,1,2,6,1,250
536,2,3,6,1,300
538,0,1,6,1,200
538,1,2,6,1,250
538,2,3,6,1,300
540,0,1,6,1,200
540,1,2,6,1,250
540,2,3,6,1,300
542,0,1,6,1,200
542,1,2,6,1,250
542,2,3,6,1,300
544,0,1,6,1,200
544,1,2,6,1,250
544,2,3,6,1,300
546,0,1,6,1,200
546,1,2,6,1,250
546,2,3,6,1,300
548,0,1,6,1,200
548,1,2,6,1,250
548,2,3,6,1,300
550,0,1,6,1,200
550,1,2,6,1,250
550,2,3,6,1,300
552,0,1,6,1,200
552,1,2,6,1,250
552,2,3,6,1,300
554,0,1,6,1,200
554,1,2,6,1,250
554,2,3,6,1,300
556,0,1,6,1,200
556,1,2,6,1,250
556,2,3,6,1,300
558,0,1,6,1,200
558,1,2,6,1,250
558,2,3,6,1,300
560,0,1,6,1,200
560,1,2,6,1,250
560,2,3,6,1,300
562,0,1,6,1,200
562,1,2,6,1,250
562,2,3,6,1,300
564,0,1,6,1,200
564,1,2,6,1,250
564,2,3,6,1,300
566,0,1,6,1,200
566,1,2,6,1,250
566,2,3,6,1,300
568,0,1,6,1,200
568,1,2,6,1,250
568,2,3,6,1,300
570,0,1,6,1,200
570,1,2,6,1,250
570,2,3,6,1,300
572,0,1,6,1,200
572,1,2,6,1,250
572,2,3,6,1,300
574,0,1,6,1,200
574,1,2,6,1,250
574,2,3,6,1,300
576,0,1,6,1,200
576,1,2,6,1,250
576,2,3,6,1,300
578,0,1,6,1,200
578,1,2,6,1,250
578,2,3,6,1,300
580,0,1,6,1,200
580,1,2,6,1,250
580,2,3,6,1,300
582,0,1,6,1,200
582,1,2,6,1,250
582,2,3,6,1,300
584,0,1,6,1,200
584,1,2,6,1,250
584,2,3,6,1,300
586,0,1,6,1,200
586,1,2,6,1,250
586,2,3,6,1,300
588,0,1,6,1,200
588,1,2,6,1,250
588,2,3,6,1,300
590,0,1,6,1,200
590,1,2,6,1,250
590,2,3,6,1,300
592,0,1,6,1,200
592,1,2,6,1,250
592,2,3,6,1,300
594,0,1,6,1,200
594,1,2,6,1,250
594,2,3,6,1,300
596,0,1,6,1,200
596,1,2,6,1,250
596,2,3,6,1,300
598,0,1,6,1,200
598,1,2,6,1,250
598,2,3,6,1,300
600,0,1,6,1,200
600,1,2,6,1,250
600,2,3,6,1,300
602,0,1,6,1,200
602,1,2,6,1,250
602,2,3,6,1,300
604,0,1,6,1,200
604,1,2,6,1,250
604,2,3,6,1,300
606,0,1,6,1,200
606,1,2,6,1,250
606,2,3,6,1,300
608,0,1,6,1,200
608,1,2,6,1,250
608,2,3,6,1,300
610,0,1,6,1,200
610,1,2,6,1,250
610,2,3,6,1,300
612,0,1,6,1,200
612,1,2,6,1,250
612,2,3,6,1,300
614,0,1,6,1,200
614,1,2,6,1,250
614,2,3,6,1,300
616,0,1,6,1,200
616,1,2,6,1,250
616,2,3,6,1,300
618,0,1,6,1,200
618,1,2,6,1,250
618,2,3,6,1,300
620,0,1,6,1,200
620,1,2,6,1,250
620,2,3,6,1,300
622,0,1,6,1,200
622,1,2,6,1,250
622,2,3,6,1,300
624,0,1,6,1,200
624,1,2,6,1,250
624,2,3,6,1,300
626,0,1,6,1,200
626,1,2,6,1,250
626,2,3,6,1,300
628,0,1,6,1,200
628,1,2,6,1,250
628,2,3,6,1,300
630,0,1,6,1,200
630,1,2,6,1,250
630,2,3,6,1,300
632,0,1,6,1,200
632,1,2,6,1,250
632,2,3,6,1,300
634,0,1,6,1,200
634,1,2,6,1,250
634,2,3,6,1,300
636,0,1,6,1,200
636,1,2,6,1,250
636,2,3,6,1,300
638,0,1,6,1,200
638,1,2,6,1,250
638,2,3,6,1,300
640,0,1,6,1,200
640,1,2,6,1,250
640,2,3,6,1,300
642,0,1,6,1,200
642,1,2,6,1,250
642,2,3,6,1,300
644,0,1,6,1,200
644,1,2,6,1,250
644,2,3,6,1,300
646,0,1,6,1,200
646,1,2,6,1,250
646,2,3,6,1,300
648,0,1,6,1,200
648,1,2,6,1,250
648,2,3,6,1,300
650,0,1,6,1,200
650,1,2,6,1,250
650,2,3,6,1,300
652,0,1,6,1,200
652,1,2,6,1,250
652,2,3,6,1,300
654,0,1,6,1,200
654,1,2,6,1,250
654,2,3,6,1,300
656,0,1,6,1,200
656,1,2,6,1,250
656,2,3,6,1,300
658,0,1,6,1,200
658,1,2,6,1,250
658,2,3,6,1,300
660,0,1,6,1,200
660,1,2,6,1,250
660,2,3,6,1,300
662,0,1,6,1,200
662,1,2,6,1,250
662,2,3,6,1,300
664,0,1,6,1,200
664,1,2,6,1,250
664,2,3,6,1,300
666,0,1,6,1,200
666,1,2,6,1,250
666,2,3,6,1,300
668,0,1,6,1,200
668,1,2,6,1,250
668,2,3,6,1,300
670,0,1,6,1,200
670,1,2,6,1,250
670,2,3,6,1,300
672,0,1,6,1,200
672,1,2,6,1,250
672,2,3,6,1,300
674,0,1,6,1,200
674,1,2,6,1,250
674,2,3,6,1,300
676,0,1,6,1,200
676,1,2,6,1,250
676,2,3,6,1,300
678,0,1,6,1,200
678,1,2,6,1,250
678,2,3,6,1,300
680,0,1,6,1,200
680,1,2,6,1,250
680,2,3,6,1,300
682,0,1,6,1,200
682,1,2,6,1,250
682,2,3,6,1,300
684,0,1,6,1,200
684,1,2,6,1,250
684,2,3,6,1,300
686,0,1,6,1,200
686,1,2,6,1,250
686,2,3,6,1,300
688,0,1,6,1,200
688,1,2,6,1,250
688,2,3,6,1,300
690,0,1,6,1,200
690,1,2,6,1,250
690,2,3,6,1,300
692,0,1,6,1,200
692,1,2,6,1,250
692,2,3,6,1,300
694,0,1,6,1,200
694,1,2,6,1,250
694,2,3,6,1,300
696,0,1,6,1,200
696,1,2,6,1,250
696,2,3,6,1,300
698,0,1,6,1,200
698,1,2,6,1,250
698,2,3,6,1,300
700,0,1,6,1,200
700,1,2,6,1,250
700,2,3,6,1,300
702,0,1,6,1,200
702,1,2,6,1,250
702,2,3,6,1,300
704,0,1,6,1,200
704,1,2,6,1,250
704,2,3,6,1,300
706,0,1,6,1,200
706,1,2,6,1,250
706,2,3,6,1,300
708,0,1,6,1,200
708,1,2,6,1,250
708,2,3,6,1,300
710,0,1,6,1,200
710,1,2,6,1,250
710,2,3,6,1,300
712,0,1,6,1,200
712,1,2,6,1,250
712,2,3,6,1,300
714,0,1,6,1,200
714,1,2,6,1,250
714,2,3,6,1,300
716,0,1,6,1,200
716,1,2,6,1,250
716,2,3,6,1,300
718,0,1,6,1,200
718,1,2,6,1,250
718,2,3,6,1,300
720,0,1,6,1,200
720,1,2,6,1,250
720,2,3,6,1,300
722,0,1,6,1,200
722,1,2,6,1,250
722,2,3,6,1,300
724,0,1,6,1,200
724,1,2,6,1,250
724,2,3,6,1,300
726,0,1,6,1,200
726,1,2,6,1,250
726,2,3,6,1,300
728,0,1,6,1,200
728,1,2,6,1,250
728,2,3,6,1,300
730,0,1,6,1,200
730,1,2,6,1,250
730,2,3,6,1,300
732,0,1,6,1,200
732,1,2,6,1,250
732,2,3,6,1,300
734,0,1,6,1,200
734,1,2,6,1,250
734,2,3,6,1,300
736,0,1,6,1,200
736,1,2,6,1,250
736,2,3,6,1,300
738,0,1,6,1,200
738,1,2,6,1,250
738,2,3,6,1,300
740,0,1,6,1,200
740,1,2,6,1,250
740,2,3,6,1,300
742,0,1,6,1,200
742,1,2,6,1,250
742,2,3,6,1,300
744,0,1,6,1,200
744,1,2,6,1,250
744,2,3,6,1,300
746,0,1,6,1,200
746,1,2,6,1,250
746,2,3,6,1,300
748,0,1,6,1,200
748,1,2,6,1,250
748,2,3,6,1,300
750,0,1,6,1,200
750,1,2,6,1,250
750,2,3,6,1,300
752,0,1,6,1,200
752,1,2,6,1,250
752,2,3,6,1,300
754,0,1,6,1,200
754,1,2,6,1,250
754,2,3,6,1,300
756,0,1,6,1,200
756,1,2,6,1,250
756,2,3,6,1,300
758,0,1,6,1,200
758,1,2,6,1,250
758,2,3,6,1,300
760,0,1,6,1,200
760,1,2,6,1,250
760,2,3,6,1,300
762,0,1,6,1,200
762,1,2,6,1,250
762,2,3,6,1,300
764,0,1,6,1,200
764,1,2,6,1,250
764,2,3,6,1,300
766,0,1,6,1,200
766,1,2,6,1,250
766,2,3,6,1,300
768,0,1,6,1,200
768,1,2,6,1,250
768,2,3,6,1,300
770,0,1,6,1,200
770,1,2,6,1,250
770,2,3,6,1,300
772,0,1,6,1,200
