time_s,pdr,throughput_kbps,avg_delay_ms,sinr_db,total_rekeys,survivability,connectivity,overhead_ratio
271,0.568182,0.18893,0.05,20.0034,52,1,0,1
272,0.568182,0.188235,0.05,20.0415,52,1,0,1
273,0.568182,0.187546,0.05,20.0415,52,1,0,1
274,0.568182,0.186861,0.05,20.0792,52,1,0,1
275,0.568182,0.186182,0.05,20.0792,52,1,0,1
276,0.568182,0.185507,0.05,20.1161,52,1,0,1
277,0.568182,0.184838,0.05,20.1161,52,1,0,1
278,0.555556,0.184173,0.05,20.1519,53,1,0,1
279,0.555556,0.183513,0.05,20.1519,53,1,0,1
280,0.565217,0.190171,0.05,20.1861,54,1,0,1
281,0.565217,0.189495,0.05,20.1861,54,1,0,1
282,0.565217,0.188823,0.05,20.2185,54,1,0,1
283,0.565217,0.188155,0.05,20.2185,54,1,0,1
284,0.565217,0.187493,0.05,20.2487,54,1,0,1
285,0.565217,0.186835,0.05,20.2487,54,1,0,1
286,0.565217,0.186182,0.05,20.2764,54,1,0,1
287,0.565217,0.185533,0.05,20.2764,54,1,0,1
288,0.565217,0.184889,0.05,20.3014,54,1,0,1
289,0.565217,0.184249,0.05,20.3014,54,1,0,1
290,0.565217,0.183614,0.05,20.3233,54,1,0,1
291,0.565217,0.182983,0.05,20.3233,54,1,0,1
292,0.565217,0.182356,0.05,20.342,54,1,0,1
293,0.565217,0.181734,0.05,20.342,54,1,0,1
294,0.565217,0.181116,0.05,20.3573,54,1,0,1
295,0.565217,0.180502,0.05,20.3573,54,1,0,1
296,0.565217,0.179892,0.05,20.369,54,1,0,1
297,0.565217,0.179286,0.05,20.369,54,1,0,1
298,0.565217,0.178685,0.05,20.377,54,1,0,1
299,0.565217,0.178087,0.05,20.377,54,1,0,1
