time_s,uav_id,cluster_id,sinr_db,jammed,drop_prob
146,9,1,24.4644,0,1.99049e-61
146,10,2,27.9982,0,1.11243e-137
146,11,2,24.1785,0,1.46866e-57
146,12,2,16.5171,0,1.82883e-10
146,13,2,12.0579,0,0.000325299
146,14,2,14.9006,0,1.94335e-07
148,0,0,12.8103,0,7.1201e-05
148,1,0,13.1632,0,3.17265e-05
148,2,0,19.8018,0,1.79481e-21
148,3,0,26.6226,0,1.68436e-100
148,4,0,27.3546,0,8.10791e-119
148,5,1,21.3248,0,3.46471e-30
148,6,1,14.077,0,2.80509e-06
148,7,1,12.2747,0,0.000215625
148,8,1,17.5751,0,3.76749e-13
148,9,1,25.1049,0,4.50774e-71
148,10,2,27.9413,0,6.75354e-136
148,11,2,23.4765,0,4.45502e-49
148,12,2,15.8155,0,5.18591e-09
148,13,2,12.0017,0,0.000360691
148,14,2,15.5415,0,1.66489e-08
150,0,0,12.496,0,0.000138698
150,1,0,13.6121,0,1.02698e-05
150,2,0,20.6012,0,1.15138e-25
150,3,0,27.0376,0,1.67151e-110
150,4,0,27.0036,0,1.19643e-109
150,5,1,20.5306,0,2.90766e-25
150,6,1,13.5697,0,1.14816e-05
150,7,1,12.5208,0,0.000131808
150,8,1,18.3483,0,1.42888e-15
150,9,1,25.6943,0,2.68095e-81
150,10,2,27.805,0,1.0113e-131
150,11,2,22.7398,0,1.55816e-41
150,12,2,15.1557,0,7.63102e-08
150,13,2,12.0254,0,0.000345376
150,14,2,16.2269,0,7.79074e-10
152,0,0,12.2566,0,0.000223328
152,1,0,14.1248,0,2.43479e-06
152,2,0,21.3946,0,1.15474e-30
152,3,0,27.3822,0,1.43454e-119
152,4,0,26.5826,0,1.38286e-99
152,5,1,19.731,0,3.88504e-21
152,6,1,13.1267,0,3.46e-05
152,7,1,12.8417,0,6.64435e-05
152,8,1,19.138,0,1.56536e-18
152,9,1,26.2268,0,8.26576e-92
152,10,2,27.5908,0,2.04405e-125
152,11,2,21.9758,0,5.96767e-35
152,12,2,14.5443,0,6.56486e-07
152,13,2,12.1287,0,0.000285034
152,14,2,16.95,0,1.74359e-11
154,0,0,12.0947,0,0.00030382
154,1,0,14.6962,0,3.95428e-07
154,2,0,22.1741,0,1.5029e-36
154,3,0,27.6531,0,3.22265e-127
154,4,0,26.0959,0,4.1938e-89
154,5,1,18.9341,0,1.02557e-17
154,6,1,12.7524,0,8.08133e-05
154,7,1,13.234,0,2.67588e-05
154,8,1,19.9363,0,3.99465e-22
154,9,1,26.6971,0,3.15939e-102
154,10,2,27.3007,0,2.32978e-117
154,11,2,21.192,0,2.67394e-29
154,12,2,13.9874,0,3.64161e-06
154,13,2,12.3108,0,0.000200977
154,14,2,17.7036,0,1.59544e-13
156,0,0,12.0117,0,0.000354161
156,1,0,15.3207,0,4.04578e-08
156,2,0,22.9318,0,2.22933e-43
156,3,0,27.8475,0,5.21464e-133
156,4,0,25.5482,0,1.23987e-78
156,5,1,18.1479,0,6.6717e-15
156,6,1,12.4504,0,0.000152172
156,7,1,13.694,0,8.25314e-06
156,8,1,20.7353,0,1.90317e-26
156,9,1,27.1005,0,4.1669e-112
156,10,2,26.9376,0,5.25616e-108
156,11,2,20.3963,0,1.62419e-24
156,12,2,13.4906,0,1.40987e-05
156,13,2,12.5696,0,0.000119151
156,14,2,18.4801,0,4.98206e-16
158,0,0,12.0085,0,0.00035623
158,1,0,15.9918,0,2.35209e-09
158,2,0,23.6603,0,3.62307e-51
158,3,0,27.9635,0,1.36879e-136
158,4,0,24.9451,0,1.56546e-68
158,5,1,17.3802,0,1.32172e-12
158,6,1,12.2239,0,0.000237866
158,7,1,14.2169,0,1.84549e-06
158,8,1,21.5269,0,1.3702e-31
158,9,1,27.433,0,5.7377e-121
158,10,2,26.5053,0,7.69858e-98
158,11,2,19.5966,0,1.62686e-20
158,12,2,13.0588,0,4.05729e-05
158,13,2,12.9027,0,5.79822e-05
158,14,2,19.2718,0,4.33817e-19
160,0,0,12.0851,0,0.000309256
160,1,0,16.7031,0,6.85678e-11
160,2,0,24.3522,0,7.04302e-60
160,3,0,27.9999,0,9.81353e-138
160,4,0,24.2926,0,4.50599e-59
160,5,1,16.6387,0,9.67605e-11
160,6,1,12.0751,0,0.000315054
160,7,1,14.7977,0,2.79084e-07
160,8,1,22.3032,0,1.24652e-37
160,9,1,27.6912,0,2.47539e-128
160,10,2,26.0079,0,2.48183e-87
160,11,2,18.801,0,3.34173e-17
160,12,2,12.6964,0,9.11684e-05
160,13,2,13.3068,0,2.24e-05
160,14,2,20.0708,0,8.47855e-23
162,0,0,12.2409,0,0.000230234
162,1,0,17.4472,0,8.63846e-13
162,2,0,25.0006,0,2.10415e-69
162,3,0,27.9564,0,2.27673e-136
162,4,0,23.5972,0,1.93524e-50
162,5,1,15.9307,0,3.10489e-09
162,6,1,12.0055,0,0.000358152
162,7,1,15.4304,0,2.61681e-08
162,8,1,23.0566,0,1.27457e-44
162,9,1,27.8725,0,8.96648e-134
162,10,2,25.4505,0,6.70273e-77
162,11,2,18.0173,0,1.75455e-14
162,12,2,12.407,0,0.000166082
162,13,2,13.7776,0,6.57268e-06
162,14,2,20.8691,0,2.98194e-27
164,0,0,12.4742,0,0.00014502
164,1,0,18.2169,0,3.95686e-15
164,2,0,25.599,0,1.50245e-79
164,3,0,27.8334,0,1.39647e-132
164,4,0,22.8658,0,9.80494e-43
164,5,1,15.2634,0,5.05616e-08
164,6,1,12.0158,0,0.000351492
164,7,1,16.1088,0,1.36737e-09
164,8,1,23.7794,0,1.43479e-52
164,9,1,27.9752,0,5.88159e-137
164,10,2,24.8387,0,6.85772e-67
164,11,2,17.2535,0,2.90234e-12
164,12,2,12.1934,0,0.000252171
164,13,2,14.3107,0,1.38349e-06
164,14,2,21.6587,0,1.53328e-32
166,0,0,12.7826,0,7.56598e-05
166,1,0,19.0044,0,5.42049e-18
166,2,0,26.1415,0,4.89113e-90
166,3,0,27.6322,0,1.30688e-126
166,4,0,22.1059,0,5.43671e-36
166,5,1,14.6434,0,4.72549e-07
166,6,1,12.1058,0,0.000297549
166,7,1,16.8261,0,3.50017e-11
166,8,1,24.4644,0,1.99049e-61
166,9,1,27.9982,0,1.11243e-137
166,10,2,24.1785,0,1.46866e-57
166,11,2,16.5171,0,1.82883e-10
166,12,2,12.0579,0,0.000325299
166,13,2,14.9006,0,1.94335e-07
166,14,2,22.4317,0,9.71712e-39
168,0,0,13.1632,0,3.17265e-05
168,1,0,19.8018,0,1.79481e-21
168,2,0,26.6226,0,1.68436e-100
168,3,0,27.3546,0,8.10791e-119
168,4,0,21.3248,0,3.46471e-30
168,5,1,14.077,0,2.80509e-06
168,6,1,12.2747,0,0.000215625
168,7,1,17.5751,0,3.76749e-13
168,8,1,25.1049,0,4.50774e-71
168,9,1,27.9413,0,6.75354e-136
168,10,2,23.4765,0,4.45502e-49
168,11,2,15.8155,0,5.18591e-09
168,12,2,12.0017,0,0.000360691
168,13,2,15.5415,0,1.66489e-08
168,14,2,23.1804,0,6.84428e-46
170,0,0,13.6121,0,1.02698e-05
170,1,0,20.6012,0,1.15138e-25
170,2,0,27.0376,0,1.67151e-110
170,3,0,27.0036,0,1.19643e-109
170,4,0,20.5306,0,2.90766e-25
170,5,1,13.5697,0,1.14816e-05
170,6,1,12.5208,0,0.000131808
170,7,1,18.3483,0,1.42888e-15
170,8,1,25.6943,0,2.68095e-81
170,9,1,27.805,0,1.0113e-131
170,10,2,22.7398,0,1.55816e-41
170,11,2,15.1557,0,7.63102e-08
170,12,2,12.0254,0,0.000345376
170,13,2,16.2269,0,7.79074e-10
170,14,2,23.8974,0,5.35331e-54
172,0,0,14.1248,0,2.43479e-06
172,1,0,21.3946,0,1.15474e-30
172,2,0,27.3822,0,1.43454e-119
172,3,0,26.5826,0,1.38286e-99
172,4,0,19.731,0,3.88504e-21
172,5,1,13.1267,0,3.46e-05
172,6,1,12.8417,0,6.64435e-05
172,7,1,19.138,0,1.56536e-18
172,8,1,26.2268,0,8.26576e-92
172,9,1,27.5908,0,2.04405e-125
172,10,2,21.9758,0,5.96767e-35
172,11,2,14.5443,0,6.56486e-07
172,12,2,12.1287,0,0.000285034
172,13,2,16.95,0,1.74359e-11
172,14,2,24.5754,0,5.34207e-63
174,0,0,14.6962,0,3.95428e-07
174,1,0,22.1741,0,1.5029e-36
174,2,0,27.6531,0,3.22265e-127
174,3,0,26.0959,0,4.1938e-89
174,4,0,18.9341,0,1.02557e-17
174,5,1,12.7524,0,8.08133e-05
174,6,1,13.234,0,2.67588e-05
174,7,1,19.9363,0,3.99465e-22
174,8,1,26.6971,0,3.15939e-102
174,9,1,27.3007,0,2.32978e-117
174,10,2,21.192,0,2.67394e-29
174,11,2,13.9874,0,3.64161e-06
174,12,2,12.3108,0,0.000200977
174,13,2,17.7036,0,1.59544e-13
174,14,2,25.2077,0,9.29432e-73
176,0,0,15.3207,0,4.04578e-08
176,1,0,22.9318,0,2.22933e-43
176,2,0,27.8475,0,5.21464e-133
176,3,0,25.5482,0,1.23987e-78
176,4,0,18.1479,0,6.6717e-15
176,5,1,12.4504,0,0.000152172
176,6,1,13.694,0,8.25314e-06
176,7,1,20.7353,0,1.90317e-26
176,8,1,27.1005,0,4.1669e-112
176,9,1,26.9376,0,5.25616e-108
176,10,2,20.3963,0,1.62419e-24
176,11,2,13.4906,0,1.40987e-05
176,12,2,12.5696,0,0.000119151
176,13,2,18.4801,0,4.98206e-16
176,14,2,25.788,0,4.6937e-83
178,0,0,15.9918,0,2.35209e-09
178,1,0,23.6603,0,3.62307e-51
178,2,0,27.9635,0,1.36879e-136
178,3,0,24.9451,0,1.56546e-68
178,4,0,17.3802,0,1.32172e-12
178,5,1,12.2239,0,0.000237866
178,6,1,14.2169,0,1.84549e-06
178,7,1,21.5269,0,1.3702e-31
178,8,1,27.433,0,5.7377e-121
178,9,1,26.5053,0,7.69858e-98
178,10,2,19.5966,0,1.62686e-20
178,11,2,13.0588,0,4.05729e-05
178,12,2,12.9027,0,5.79822e-05
178,13,2,19.2718,0,4.33817e-19
178,14,2,26.3104,0,1.40488e-93
180,0,0,16.7031,0,6.85678e-11
180,1,0,24.3522,0,7.04302e-60
180,2,0,27.9999,0,9.81353e-138
180,3,0,24.2926,0,4.50599e-59
180,4,0,16.6387,0,9.67605e-11
180,5,1,12.0751,0,0.000315054
180,6,1,14.7977,0,2.79084e-07
180,7,1,22.3032,0,1.24652e-37
180,8,1,27.6912,0,2.47539e-128
180,9,1,26.0079,0,2.48183e-87
180,10,2,18.801,0,3.34173e-17
180,11,2,12.6964,0,9.11684e-05
180,12,2,13.3068,0,2.24e-05
180,13,2,20.0708,0,8.47855e-23
180,14,2,26.7698,0,6.13612e-104
182,0,0,17.4472,0,8.63846e-13
182,1,0,25.0006,0,2.10415e-69
182,2,0,27.9564,0,2.27673e-136
182,3,0,23.5972,0,1.93524e-50
182,4,0,15.9307,0,3.10489e-09
182,5,1,12.0055,0,0.000358152
182,6,1,15.4304,0,2.61681e-08
182,7,1,23.0566,0,1.27457e-44
182,8,1,27.8725,0,8.96648e-134
182,9,1,25.4505,0,6.70273e-77
182,10,2,18.0173,0,1.75455e-14
182,11,2,12.407,0,0.000166082
182,12,2,13.7776,0,6.57268e-06
182,13,2,20.8691,0,2.98194e-27
182,14,2,27.1615,0,1.11001e-113
184,0,0,18.2169,0,3.95686e-15
184,1,0,25.599,0,1.50245e-79
184,2,0,27.8334,0,1.39647e-132
184,3,0,22.8658,0,9.80494e-43
184,4,0,15.2634,0,5.05616e-08
184,5,1,12.0158,0,0.000351492
184,6,1,16.1088,0,1.36737e-09
184,7,1,23.7794,0,1.43479e-52
184,8,1,27.9752,0,5.88159e-137
184,9,1,24.8387,0,6.85772e-67
184,10,2,17.2535,0,2.90234e-12
184,11,2,12.1934,0,0.000252171
184,12,2,14.3107,0,1.38349e-06
184,13,2,21.6587,0,1.53328e-32
184,14,2,27.4817,0,2.5303e-122
186,0,0,19.0044,0,5.42049e-18
186,1,0,26.1415,0,4.89113e-90
186,2,0,27.6322,0,1.30688e-126
186,3,0,22.1059,0,5.43671e-36
186,4,0,14.6434,0,4.72549e-07
186,5,1,12.1058,0,0.000297549
186,6,1,16.8261,0,3.50017e-11
186,7,1,24.4644,0,1.99049e-61
186,8,1,27.9982,0,1.11243e-137
186,9,1,24.1785,0,1.46866e-57
186,10,2,16.5171,0,1.82883e-10
186,11,2,12.0579,0,0.000325299
186,12,2,14.9006,0,1.94335e-07
186,13,2,22.4317,0,9.71712e-39
186,14,2,27.7271,0,2.15622e-129
188,0,0,19.8018,0,1.79481e-21
188,1,0,26.6226,0,1.68436e-100
188,2,0,27.3546,0,8.10791e-119
188,3,0,21.3248,0,3.46471e-30
188,4,0,14.077,0,2.80509e-06
188,5,1,12.2747,0,0.000215625
188,6,1,17.5751,0,3.76749e-13
188,7,1,25.1049,0,4.50774e-71
188,8,1,27.9413,0,6.75354e-136
188,9,1,23.4765,0,4.45502e-49
188,10,2,15.8155,0,5.18591e-09
